timestamp,phase,dataset,task,damage_type,layer_seq_index,pct,repeat,test_accuracy,test_f1,test_mae,test_rmse,repeats_total,repeat_eval,ckpt,metric,baseline_metric,value,delta_from_baseline,f1
20250813-104930,damage_immediate,breast_cancer,clf,neurons,0,0.2,0.0,0.9534883720930232,0.9629629629629628,,,,,,,,,,
20250813-104930,damage_immediate,breast_cancer,clf,neurons,0,0.2,1.0,0.9418604651162792,0.954954954954955,,,,,,,,,,
20250813-104930,damage_immediate,breast_cancer,clf,neurons,0,0.2,2.0,0.9069767441860463,0.925925925925926,,,,,,,,,,
20250813-104930,damage_immediate,breast_cancer,clf,neurons,0,0.2,3.0,0.8837209302325582,0.9056603773584906,,,,,,,,,,
20250813-104930,damage_immediate,breast_cancer,clf,neurons,0,0.2,4.0,0.8837209302325582,0.903846153846154,,,,,,,,,,
20250813-104930,damage_immediate,breast_cancer,clf,neurons,0,0.2,5.0,0.872093023255814,0.8990825688073395,,,,,,,,,,
20250813-105203,damage_immediate,california_housing,reg,neurons,0,0.2,0.0,,,0.374850183725357,0.5373355181330539,,,,,,,,
20250813-105203,damage_immediate,california_housing,reg,neurons,0,0.2,1.0,,,0.5098206400871277,0.7588124314567272,,,,,,,,
20250813-105203,damage_immediate,california_housing,reg,neurons,0,0.2,2.0,,,0.5255913734436035,0.7506551265467554,,,,,,,,
20250813-105203,damage_immediate,california_housing,reg,neurons,0,0.2,3.0,,,0.5722992420196533,0.8085843514158834,,,,,,,,
20250813-105203,damage_immediate,california_housing,reg,neurons,0,0.2,4.0,,,0.5953677296638489,0.8313168606363763,,,,,,,,
20250813-105203,damage_immediate,california_housing,reg,neurons,0,0.2,5.0,,,0.6136718988418579,0.9004139597221144,,,,,,,,
20250813-105456,damage_immediate,,clf,neurons,0,0.2,,,,,,5.0,0.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9534883720930232,0.0,0.9629629629629628
20250813-105456,damage_immediate,,clf,neurons,0,0.2,,,,,,5.0,1.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9418604651162792,0.0116279069767442,0.954954954954955
20250813-105456,damage_immediate,,clf,neurons,0,0.2,,,,,,5.0,2.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9069767441860463,0.0465116279069768,0.925925925925926
20250813-105456,damage_immediate,,clf,neurons,0,0.2,,,,,,5.0,3.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.8837209302325582,0.0697674418604651,0.9056603773584906
20250813-105456,damage_immediate,,clf,neurons,0,0.2,,,,,,5.0,4.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.8837209302325582,0.0697674418604651,0.903846153846154
20250813-105456,damage_immediate,,clf,neurons,0,0.2,,,,,,5.0,5.0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930233,0.872093023255814,0.08139534883720934,0.8990825688073395
